key,ko,en
BRIDGE_MENU,Bridge,Bridge
MIX_MENU,Mix,Mix
PAX_MENU,Pax,Pax
IJM_MENU,Ijm,Ijm
GENESIS_MENU,Genesis,Genesis
SUPERNOVA_MENU,Supernova,Supernova
STABLEDAO_MENU,StableDAO,StableDAO
